filepath,label,split
data/input/Fish\Cray\Cray_19.jpg,Cray,train
data/input/Fish\Discuss\Discuss_143.png,Discuss,train
data/input/Fish\Gold\Gold_118.jpg,Gold,train
data/input/Fish\Gold\Gold_135.jpg,Gold,train
data/input/Fish\Oscar\Oscar_75.jpg,Oscar,train
data/input/Fish\Bete\Bete_75.jpg,Bete,train
data/input/Fish\Guppy\Guppy_21.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_88.jpg,Guppy,train
data/input/Fish\Cray\Cray_5.jpg,Cray,train
data/input/Fish\Oscar\Oscar_109.jpg,Oscar,train
data/input/Fish\Cray\Cray_64.jpg,Cray,train
data/input/Fish\Gold\Gold_181.jpg,Gold,train
data/input/Fish\Guppy\Guppy_139.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_23.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_12.jpg,Oscar,train
data/input/Fish\Bete\Bete_43.jpg,Bete,train
data/input/Fish\Guppy\Guppy_64.png,Guppy,train
data/input/Fish\Oscar\Oscar_119.jpg,Oscar,train
data/input/Fish\Gold\Gold_190.jpg,Gold,train
data/input/Fish\Guppy\Guppy_75.png,Guppy,train
data/input/Fish\Cray\Cray_44.jpg,Cray,train
data/input/Fish\Gold\Gold_70.jpg,Gold,train
data/input/Fish\Guppy\Guppy_61.png,Guppy,train
data/input/Fish\Guppy\Guppy_57.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_160.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_123.jpg,Guppy,train
data/input/Fish\Gold\Gold_194.jpg,Gold,train
data/input/Fish\Gold\Gold_121.jpg,Gold,train
data/input/Fish\Gold\Gold_92.jpg,Gold,train
data/input/Fish\Gold\Gold_62.jpg,Gold,train
data/input/Fish\Guppy\Guppy_28.jpg,Guppy,train
data/input/Fish\Oscar\Oscar_10.jpg,Oscar,train
data/input/Fish\Bete\Bete_14.jpg,Bete,train
data/input/Fish\Cray\Cray_60.jpg,Cray,train
data/input/Fish\Guppy\Guppy_67.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_12.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_143.jpg,Guppy,train
data/input/Fish\Gold\Gold_195.jpg,Gold,train
data/input/Fish\Gold\Gold_203.jpg,Gold,train
data/input/Fish\Oscar\Oscar_116.jpg,Oscar,train
data/input/Fish\Gold\Gold_104.jpg,Gold,train
data/input/Fish\Gold\Gold_189.jpg,Gold,train
data/input/Fish\Bete\Bete_71.jpg,Bete,train
data/input/Fish\Discuss\Discuss_98.jpg,Discuss,train
data/input/Fish\Bete\Bete_35.jpg,Bete,train
data/input/Fish\Gold\Gold_22.jpg,Gold,train
data/input/Fish\Gold\Gold_71.jpg,Gold,train
data/input/Fish\Guppy\Guppy_81.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_32.jpg,Guppy,train
data/input/Fish\Oscar\Oscar_122.png,Oscar,train
data/input/Fish\Gold\Gold_42.jpg,Gold,train
data/input/Fish\Oscar\Oscar_107.jpg,Oscar,train
data/input/Fish\Discuss\Discuss_52.jpg,Discuss,train
data/input/Fish\Bete\Bete_82.jpg,Bete,train
